ID,EMPRESA_JUNIOR,FED,CLUSTER,FATURAMENTO,PORCENTAGEM_MEMBROS,N_PROJETOS,ACOES_COMPARTILHADAS,PARTICIPACAO,NPS,PROJETOS_IMPACTO
717,Struct,Concentro,2,26750,83,10,3,50,25,3
336,Business Consultoria,FEJEPAR,4,120000,85,35,4,80,55,20
137,Júnior FEA-RP,FEJESP,3,100000,80,30,4,60,50,15
83,Click Júnior,Juniores,2,16956,60,22,4,60,70,16
401,Empresa Junior FGV,FEJESP,5,580000,75,39,4,42,50,20
147,EJEAmb,FEJESP,1,15000,85,15,2,50,40,6
163,Produção Jr,FEJESP,3,140000,90,25,3,42,50,13
465,Praxis - Empresa Jr.,UNIJr-BA,3,100000,75,70,14,80,50,35
1131,Virtù Consultoria Política,FEJEPE,1,5000,60,4,1,55,50,2
19,Sem Fronteiras Consultoria Jr,FEJESC,1,15000,68,12,1,43,1,3
150,Executive Consultoria Júnior,PB Júnior,5,6000,60,15,1,51,60,9
177,Inventório - Empresa Júnior de Design e Moda,FEJESC,5,120000,75,70,10,70,1,1
1118,Provisão Empresa Júnior,FEJEMG,1,6312.5,27,11,1,33,20,3
155,Pro Junior - Projetos e Consultoria em Engenharia e Arquitetura,FEJESP,4,140000,85,51,3,95,35,20
181,Esag Jr.,FEJESC,5,700000,75,82,12,100,70,82
583,CONSTAT - Consultoria Estatística,Juniores,2,23600,52,20,1,47,10,10
207,CONSELT,FEJEMG,2,35000,80,25,2,33,90,23
139,Humanus Empresa Junior,FEJESP,2,27000,75,25,1,66,50,13
1022,Energy Projetos Elétricos e Consultoria,FEMTEJ,1,25000,70,7,2,33,30,3
347,Tetris Empresa Júnior ,FEJEPAR,4,83000,75,48,3,80,80,39
527,Bevilaqua - Escritório Modelo Empresarial,FEJEPE,2,18000,70,27,5,85,60,17
299,CLÍNQUER,UNIJr-BA,1,8500,55,10,2,50,50,5
152,Jr. Eng,FEJESP,2,57380,75,4,1,33,50,2
196,EIXO Consultoria,FEJEPE,3,107190,53,30,1,33,36,11
202,Ideal Consultoria e Empreendimentos,FEJEMG,2,40000,100,55,5,50,50,28
585,Tecno System,UNIJr-BA,2,28800,45,5,2,33,60,8
586,Salto Consultoria,RioJunior,1,8710,69,13,2,66,66,9
185,EJMinas,FEJERS,2,33100,75,8,1,58,26,3
229,Reina Consultoria Internacional,SERJÚNIOR,1,10046.4,75,20,1,80,50,10
228,Sinergia,FEJEMG,1,13492,60,33,6,43,40,14
1219,Tristate,FEJEMG,1,15740,60,9,1,43,25,3
1088,Ecoalize - Consultoria Ambiental Jr.,FEJEPAR,1,32284.5,75,6,1,38,30,2
353,EJUVV,Juniores,4,90000,60,45,3,60,90,41
481,Civil Júnior,FEJEMG,3,60000,100,50,5,100,90,45
404,Empresa Júnior Pharma ,FEJEMS,1,9125,75,5,1,80,50,3
231,Include Engenharia,RN Júnior,1,22000,70,19,3,43,35,7
238,LUMUS Engenharia,RN Júnior,3,75000,70,35,5,47,51,18
