"EMPRESA,FED,""PROJETOS"""
"Consultoria Empresarial de Engenharia Química - CEJEQ,""FEJESC"",""0"""
"Maximiza Consultoria,""FEJEPAR"",""0"""
"Maximiza Consultoria,""FEJEPAR"",""1"""
"Maximiza Consultoria,""FEJEPAR"",""2"""
"Maximiza Consultoria,""FEJEPAR"",""0"""
"Aspecto Empreendimento Criativo,""FEJEMG"",""0"""
"Aspecto Empreendimento Criativo,""FEJEMG"",""4"""
"Aspecto Empreendimento Criativo,""FEJEMG"",""10"""
"Aspecto Empreendimento Criativo,""FEJEMG"",""11"""
"Atmos Júnior,""FEJESP"",""0"""
"Atmos Júnior,""FEJESP"",""0"""
"Atmos Júnior,""FEJESP"",""1"""
"Atmos Júnior,""FEJESP"",""0"""
"Archipolis Júnior,""Juniores"",""1"""
"Archipolis Júnior,""Juniores"",""1"""
"Archipolis Júnior,""Juniores"",""2"""
"Archipolis Júnior,""Juniores"",""0"""
"Controle Consultoria Jr ,""UNIJr-BA"",""0"""
"Controle Consultoria Jr ,""UNIJr-BA"",""0"""
"Controle Consultoria Jr ,""UNIJr-BA"",""0"""
"Controle Consultoria Jr ,""UNIJr-BA"",""2"""
"CodeX,""PB Júnior"",""0"""
"CodeX,""PB Júnior"",""0"""
"CodeX,""PB Júnior"",""0"""
"CodeX,""PB Júnior"",""0"""
"Química Jr,""FEJESP"",""0"""
"Química Jr,""FEJESP"",""0"""
"Química Jr,""FEJESP"",""3"""
"Química Jr,""FEJESP"",""0"""
"Ciclus Consultoria,""FEJEPAR"",""1"""
"Ciclus Consultoria,""FEJEPAR"",""0"""
"Ciclus Consultoria,""FEJEPAR"",""0"""
"Ciclus Consultoria,""FEJEPAR"",""0"""
"Gama Jr,""Juniores"",""0"""
"Gama Jr,""Juniores"",""1"""
"Gama Jr,""Juniores"",""0"""
"Gama Jr,""Juniores"",""1"""
"Canindé Design Empresa Júnior,""Goiás Júnior"",""1"""
"Canindé Design Empresa Júnior,""Goiás Júnior"",""1"""
"Canindé Design Empresa Júnior,""Goiás Júnior"",""3"""
"Canindé Design Empresa Júnior,""Goiás Júnior"",""1"""
"Cacto Comunicação,""FEJEPAR"",""0"""
"Cacto Comunicação,""FEJEPAR"",""0"""
"Cacto Comunicação,""FEJEPAR"",""0"""
"Cacto Comunicação,""FEJEPAR"",""0"""
"CEANUT,""FEJERS"",""37"""
"CEANUT,""FEJERS"",""6"""
"CEANUT,""FEJERS"",""2"""
"CEANUT,""FEJERS"",""11"""
"Vale J Jr,""FEJECE"",""5"""
"Vale J Jr,""FEJECE"",""3"""
"Vale J Jr,""FEJECE"",""6"""
"Vale J Jr,""FEJECE"",""5"""
"Adapti ,""Juniores"",""0"""
"Adapti ,""Juniores"",""0"""
"Adapti ,""Juniores"",""0"""
"Adapti ,""Juniores"",""1"""
"Concrete,""RN Júnior"",""3"""
"Concrete,""RN Júnior"",""1"""
"Concrete,""RN Júnior"",""2"""
"Concrete,""RN Júnior"",""0"""
"Precisão Engenharia Empresa Junior de Engenharia Mecânica,""FEJESP"",""0"""
"Precisão Engenharia Empresa Junior de Engenharia Mecânica,""FEJESP"",""0"""
"Precisão Engenharia Empresa Junior de Engenharia Mecânica,""FEJESP"",""1"""
"Precisão Engenharia Empresa Junior de Engenharia Mecânica,""FEJESP"",""0"""
"INTEGRA,""FEJESP"",""0"""
"INTEGRA,""FEJESP"",""2"""
"INTEGRA,""FEJESP"",""0"""
"INTEGRA,""FEJESP"",""0"""
"F5 Junior - Consultoria Internacional,""FEJERS"",""0"""
"F5 Junior - Consultoria Internacional,""FEJERS"",""0"""
"F5 Junior - Consultoria Internacional,""FEJERS"",""0"""
"F5 Junior - Consultoria Internacional,""FEJERS"",""0"""
"Economontes Empresa Junior,""FEJEMG"",""1"""
"Economontes Empresa Junior,""FEJEMG"",""0"""
"Economontes Empresa Junior,""FEJEMG"",""0"""
"Economontes Empresa Junior,""FEJEMG"",""0"""
"CIPPAL Engenharias Agrárias,""Goiás Júnior"",""1"""
"CIPPAL Engenharias Agrárias,""Goiás Júnior"",""1"""
"CIPPAL Engenharias Agrárias,""Goiás Júnior"",""1"""
"CIPPAL Engenharias Agrárias,""Goiás Júnior"",""0"""
"Nortear Jr. Engenharia,""FEJEA"",""16"""
"Nortear Jr. Engenharia,""FEJEA"",""0"""
"Nortear Jr. Engenharia,""FEJEA"",""0"""
"Nortear Jr. Engenharia,""FEJEA"",""0"""
"Comunica! Empresa Júnior de Jornalismo,""FEJESC"",""0"""
"Comunica! Empresa Júnior de Jornalismo,""FEJESC"",""1"""
"Comunica! Empresa Júnior de Jornalismo,""FEJESC"",""2"""
"Comunica! Empresa Júnior de Jornalismo,""FEJESC"",""0"""
"Universitur,""RN Júnior"",""0"""
"Universitur,""RN Júnior"",""0"""
"Universitur,""RN Júnior"",""0"""
"Universitur,""RN Júnior"",""0"""
"ENGETOP,""UNIJr-BA"",""1"""
"ENGETOP,""UNIJr-BA"",""8"""
"ENGETOP,""UNIJr-BA"",""4"""
"ENGETOP,""UNIJr-BA"",""0"""
"Dual Jr,""FEJECE"",""0"""
"Dual Jr,""FEJECE"",""0"""
"Dual Jr,""FEJECE"",""1"""
"Dual Jr,""FEJECE"",""0"""
"Minas Júnior Consultoria Mineral,""FEJEMG"",""13"""
"Minas Júnior Consultoria Mineral,""FEJEMG"",""8"""
"Minas Júnior Consultoria Mineral,""FEJEMG"",""0"""
"Minas Júnior Consultoria Mineral,""FEJEMG"",""0"""
"Ecofarma Jr.,""FEJEMG"",""1"""
"Ecofarma Jr.,""FEJEMG"",""4"""
"Ecofarma Jr.,""FEJEMG"",""5"""
"Ecofarma Jr.,""FEJEMG"",""2"""
"Acens,""FEJECE"",""0"""
"Acens,""FEJECE"",""1"""
"Acens,""FEJECE"",""1"""
"Acens,""FEJECE"",""0"""
"ESPM Jr. (Rio de Janeiro),""RioJunior"",""3"""
"ESPM Jr. (Rio de Janeiro),""RioJunior"",""0"""
"ESPM Jr. (Rio de Janeiro),""RioJunior"",""2"""
"ESPM Jr. (Rio de Janeiro),""RioJunior"",""1"""
"PUC Consultoria Jr.,""FEJEMG"",""0"""
"PUC Consultoria Jr.,""FEJEMG"",""0"""
"PUC Consultoria Jr.,""FEJEMG"",""1"""
"PUC Consultoria Jr.,""FEJEMG"",""1"""
"Projete JR,""FEJESC"",""2"""
"Projete JR,""FEJESC"",""0"""
"Projete JR,""FEJESC"",""3"""
"Projete JR,""FEJESC"",""0"""
"CSB Júnior,""FEJESP"",""0"""
"CSB Júnior,""FEJESP"",""0"""
"CSB Júnior,""FEJESP"",""0"""
"CSB Júnior,""FEJESP"",""0"""
"Ecomp Jr,""UNIJr-BA"",""1"""
"Ecomp Jr,""UNIJr-BA"",""0"""
"Ecomp Jr,""UNIJr-BA"",""0"""
"Ecomp Jr,""UNIJr-BA"",""0"""
"Motora Junior Empresa de Consultoria,""FEJERS"",""0"""
"Motora Junior Empresa de Consultoria,""FEJERS"",""0"""
"Motora Junior Empresa de Consultoria,""FEJERS"",""0"""
"Motora Junior Empresa de Consultoria,""FEJERS"",""1"""
"QuímEJ  - Empresa Júnior de Soluções em Química,""FEJEMG"",""1"""
"QuímEJ  - Empresa Júnior de Soluções em Química,""FEJEMG"",""1"""
"QuímEJ  - Empresa Júnior de Soluções em Química,""FEJEMG"",""1"""
"QuímEJ  - Empresa Júnior de Soluções em Química,""FEJEMG"",""1"""
"EJECiv,""FEJERS"",""2"""
"EJECiv,""FEJERS"",""3"""
"EJECiv,""FEJERS"",""0"""
"EJECiv,""FEJERS"",""0"""
"Linked Informatica Junior,""FEJEMG"",""0"""
"Linked Informatica Junior,""FEJEMG"",""1"""
"Linked Informatica Junior,""FEJEMG"",""1"""
"Linked Informatica Junior,""FEJEMG"",""0"""
"Primus Consultoria Empresarial,""UNIJr-BA"",""3"""
"Primus Consultoria Empresarial,""UNIJr-BA"",""2"""
"Primus Consultoria Empresarial,""UNIJr-BA"",""2"""
"Primus Consultoria Empresarial,""UNIJr-BA"",""0"""
"UNIFEI JUNIOR,""FEJEMG"",""0"""
"UNIFEI JUNIOR,""FEJEMG"",""2"""
"UNIFEI JUNIOR,""FEJEMG"",""0"""
"UNIFEI JUNIOR,""FEJEMG"",""4"""
"Atrium Junior,""FEJEMG"",""0"""
"Atrium Junior,""FEJEMG"",""0"""
"Atrium Junior,""FEJEMG"",""0"""
"Atrium Junior,""FEJEMG"",""0"""
"Eixo Público ,""FEJESP"",""0"""
"Eixo Público ,""FEJESP"",""0"""
"Eixo Público ,""FEJESP"",""0"""
"Eixo Público ,""FEJESP"",""0"""
"Caduceu Júnior,""FEJERS"",""426"""
"Caduceu Júnior,""FEJERS"",""341"""
"Caduceu Júnior,""FEJERS"",""98"""
"Caduceu Júnior,""FEJERS"",""2"""
"Ideal Consultoria e Empreendimentos,""FEJEMG"",""0"""
"Ideal Consultoria e Empreendimentos,""FEJEMG"",""0"""
"Ideal Consultoria e Empreendimentos,""FEJEMG"",""10"""
"Ideal Consultoria e Empreendimentos,""FEJEMG"",""0"""
"SEMPRE - Soluções Empresariais Jr.,""FEJEMG"",""0"""
"SEMPRE - Soluções Empresariais Jr.,""FEJEMG"",""0"""
"SEMPRE - Soluções Empresariais Jr.,""FEJEMG"",""0"""
"SEMPRE - Soluções Empresariais Jr.,""FEJEMG"",""0"""
"Projetos Consultoria Integrada,""Concentro"",""1"""
"Projetos Consultoria Integrada,""Concentro"",""1"""
"Projetos Consultoria Integrada,""Concentro"",""6"""
"Projetos Consultoria Integrada,""Concentro"",""0"""
"TEQInova - Tecnologia, Engenharia Química e Inovação,""PB Júnior"",""0"""
"TEQInova - Tecnologia, Engenharia Química e Inovação,""PB Júnior"",""0"""
"TEQInova - Tecnologia, Engenharia Química e Inovação,""PB Júnior"",""0"""
"TEQInova - Tecnologia, Engenharia Química e Inovação,""PB Júnior"",""0"""
"Alimentos Júnior Consultoria,""FEJEMG"",""1"""
"Alimentos Júnior Consultoria,""FEJEMG"",""7"""
"Alimentos Júnior Consultoria,""FEJEMG"",""2"""
"Alimentos Júnior Consultoria,""FEJEMG"",""6"""
"MecTRIA,""FEJEMG"",""1"""
